"","TP","Transect_group","Main_groups","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"1","Dec_2020","SB_East","Hard coral",17.625,21.15,4,12.4307079444415,6.21535397222073
"2","Dec_2020","SB_East","Macroalgae",15.275,16.55,4,8.77890463934235,4.38945231967118
"3","Dec_2020","SB_East","Red Turf",0.625,0.45,4,0.639661368746516,0.319830684373258
"4","Dec_2020","SB_East","Green Turf",0.475,0.45,4,0.206155281280883,0.103077640640442
"5","Dec_2020","SB_East","Black Turf",13.3,13,4,5.52026569408877,2.76013284704438
"6","Dec_2020","SB_East","Other Turf",9.2,9.1,4,5.77581163127746,2.88790581563873
"7","Dec_2020","SB_East","Other benthic invertebrates",0.325,0.1,4,0.525198375219624,0.262599187609812
"8","Dec_2020","SB_East","Rubble and Rock",0.9,1.05,4,0.571547606649408,0.285773803324704
"9","Dec_2020","SB_middle","Hard coral",27.3571428571429,26.6,7,16.301007856659,6.16120184406138
"10","Dec_2020","SB_middle","Macroalgae",13.1,11.7,7,6.41378723272503,2.42418371141023
"11","Dec_2020","SB_middle","Red Turf",0.685714285714286,0.4,7,0.55805785670356,0.21092604371762
"12","Dec_2020","SB_middle","Green Turf",0.957142857142857,0.7,7,0.958918041087876,0.36243695205882
"13","Dec_2020","SB_middle","Black Turf",20.2428571428571,24.9,7,12.0671533708738,4.56095526454383
"14","Dec_2020","SB_middle","Other Turf",6.81428571428571,4.6,7,7.56294223421647,2.85852347595486
"15","Dec_2020","SB_middle","Other benthic invertebrates",0.157142857142857,0,7,0.293582145558064,0.110963620930772
"16","Dec_2020","SB_middle","Rubble and Rock",0.842857142857143,0.8,7,0.553344807683669,0.20914467862855
"17","Dec_2020","SB_west","Hard coral",27.3571428571429,24.2,7,10.5473309645706,3.98651638967784
"18","Dec_2020","SB_west","Macroalgae",16.7428571428571,15.2,7,8.1934642943542,3.0968384141355
"19","Dec_2020","SB_west","Red Turf",2.3,1.4,7,3.66924152016917,1.38684293751431
"20","Dec_2020","SB_west","Green Turf",1.15714285714286,1,7,0.41576092031015,0.157142857142857
"21","Dec_2020","SB_west","Black Turf",17.0714285714286,17,7,8.24595138754251,3.11667667065221
"22","Dec_2020","SB_west","Other Turf",12.8714285714286,12.1,7,6.51989628897942,2.46428916493892
"23","Dec_2020","SB_west","Other benthic invertebrates",0.114285714285714,0,7,0.167616341969505,0.0633530223602384
"24","Dec_2020","SB_west","Rubble and Rock",2.48571428571429,3.5,7,2.00701151917353,0.758579051167871
"25","March_2021","SB_East","Hard coral",31.4285714285714,31.1,7,19.3922419441138,7.32957850687442
"26","March_2021","SB_East","Macroalgae",23.5142857142857,19.3,7,21.9857854511673,8.3098458117444
"27","March_2021","SB_East","Red Turf",4.77142857142857,4.1,7,5.61655715591983,2.12285906556344
"28","March_2021","SB_East","Green Turf",1.71428571428571,1.7,7,1.15531896234845,0.4366695227616
"29","March_2021","SB_East","Black Turf",5,2.7,7,4.78887599895146,1.81002499325022
"30","March_2021","SB_East","Other Turf",10.5571428571429,7.7,7,9.36818323597789,3.54084043984026
"31","March_2021","SB_East","Other benthic invertebrates",0.9,0.8,7,0.707106781186548,0.267261241912424
"32","March_2021","SB_East","Rubble and Rock",1.12857142857143,1.2,7,1.00451362312694,0.379670462195765
"33","March_2021","SB_middle","Hard coral",13.5111111111111,4.4,9,21.0419488429924,7.01398294766415
"34","March_2021","SB_middle","Macroalgae",37.1,43.3,9,22.071701339045,7.35723377968166
"35","March_2021","SB_middle","Red Turf",4.23333333333333,0.8,9,10.2235023353056,3.40783411176855
"36","March_2021","SB_middle","Green Turf",0.666666666666667,0.5,9,0.674536878161602,0.224845626053867
"37","March_2021","SB_middle","Black Turf",4.6,1.4,9,6.93469537903432,2.31156512634477
"38","March_2021","SB_middle","Other Turf",7.75555555555556,6.5,9,6.4171861261598,2.13906204205327
"39","March_2021","SB_middle","Other benthic invertebrates",0.255555555555556,0.2,9,0.245515331044271,0.0818384436814235
"40","March_2021","SB_middle","Rubble and Rock",0.855555555555556,0.2,9,1.80215919878844,0.600719732929479
"41","March_2021","SB_west","Hard coral",26.1857142857143,28.1,7,19.8314925116113,7.4955996161376
"42","March_2021","SB_west","Macroalgae",19.8,24,7,12.1309521472966,4.58506893545311
"43","March_2021","SB_west","Red Turf",8.04285714285714,8.4,7,7.04718788899921,2.66358665666259
"44","March_2021","SB_west","Green Turf",1.01428571428571,1.1,7,0.353216512583861,0.133503293036916
"45","March_2021","SB_west","Black Turf",2.45714285714286,1.9,7,2.31506453679456,0.875012147631906
"46","March_2021","SB_west","Other Turf",5.78571428571429,2.6,7,8.45644302123704,3.19623503005441
"47","March_2021","SB_west","Other benthic invertebrates",0.671428571428571,0.3,7,0.7587583842794,0.286783712855496
"48","March_2021","SB_west","Rubble and Rock",0.171428571428571,0.2,7,0.170433620649269,0.0644178536117556
"49","April_2022","SB_East","Hard coral",18.4142857142857,19,7,8.33515218245965,3.15039140209507
"50","April_2022","SB_East","Macroalgae",30.7571428571429,34.7,7,13.7643085723981,5.20241963590282
"51","April_2022","SB_East","Red Turf",16.5714285714286,13.8,7,15.5179159130894,5.86522091029235
"52","April_2022","SB_East","Green Turf",0.385714285714286,0.3,7,0.452506248312556,0.171031285676838
"53","April_2022","SB_East","Black Turf",0.914285714285714,0.8,7,1.00569805181703,0.380118134161431
"54","April_2022","SB_East","Other Turf",5.34285714285714,4.8,7,3.34607090124977,1.26469592484238
"55","April_2022","SB_East","Other benthic invertebrates",0.657142857142857,0.1,7,0.921696159004587,0.348368403012798
"56","April_2022","SB_East","Rubble and Rock",0.328571428571429,0.2,7,0.390360029179413,0.147542222712663
"57","April_2022","SB_middle","Hard coral",25.4363636363636,26.1,11,9.46057849470874,2.85247174242311
"58","April_2022","SB_middle","Macroalgae",17.5676767676768,15.6,11,7.72211423512898,2.32830504601683
"59","April_2022","SB_middle","Red Turf",18.4808080808081,17.9,11,12.1528984409594,3.66423674945068
"60","April_2022","SB_middle","Green Turf",0.705050505050505,0.555555555555556,11,0.584857556497046,0.17634118824589
"61","April_2022","SB_middle","Black Turf",0.727272727272727,0.2,11,0.813745548793859,0.245353514561006
"62","April_2022","SB_middle","Other Turf",6.1989898989899,5.6,11,3.59577067940937,1.08416565234202
"63","April_2022","SB_middle","Other benthic invertebrates",0.504040404040404,0.444444444444444,11,0.3991123709233,0.120336907594703
"64","April_2022","SB_middle","Rubble and Rock",0.527272727272727,0.3,11,0.544225888930156,0.16409027952536
"65","April_2022","SB_west","Hard coral",16.7428571428571,12.2,7,15.047021537263,5.68723956569011
"66","April_2022","SB_west","Macroalgae",16.225974025974,16.4,7,10.4599030126969,3.95347172992161
"67","April_2022","SB_west","Red Turf",18.9857142857143,20.8,7,11.1596637600823,4.21795643203969
"68","April_2022","SB_west","Green Turf",0.457142857142857,0.5,7,0.299205296617238,0.113088972257504
"69","April_2022","SB_west","Black Turf",0.128571428571429,0,7,0.262769136406122,0.0993173981648296
"70","April_2022","SB_west","Other Turf",6.31428571428571,2.8,7,7.2966724314189,2.7578829502622
"71","April_2022","SB_west","Other benthic invertebrates",1.1,0.9,7,1.35769412362775,0.513160143944688
"72","April_2022","SB_west","Rubble and Rock",0.5,0.5,7,0.454606056566195,0.171824938596845
"73","Dec_2022","SB_East","Hard coral",23.1285714285714,16.1,7,16.516225788167,6.24254657612597
"74","Dec_2022","SB_East","Macroalgae",27.2285714285714,27,7,9.31230624598695,3.51972092276499
"75","Dec_2022","SB_East","Red Turf",0.0285714285714286,0,7,0.0755928946018455,0.0285714285714286
"76","Dec_2022","SB_East","Green Turf",0.528571428571429,0.4,7,0.325137333621173,0.122890360957752
"77","Dec_2022","SB_East","Black Turf",15.8857142857143,16.9,7,5.9563491534744,2.25128836885191
"78","Dec_2022","SB_East","Other Turf",6.65714285714286,7.5,7,1.9662630740037,0.743177586563311
"79","Dec_2022","SB_East","Other benthic invertebrates",0.228571428571429,0.1,7,0.256347977784662,0.096890428330361
"80","Dec_2022","SB_East","Rubble and Rock",2.71428571428571,1.2,7,2.46402690152291,0.931314629314664
"81","Dec_2022","SB_middle","Hard coral",14.94,5.4,10,23.017297843144,7.2787086766816
"82","Dec_2022","SB_middle","Macroalgae",25.7,22.3,10,8.60426250955498,2.720906711619
"83","Dec_2022","SB_middle","Red Turf",0.02,0,10,0.0632455532033676,0.02
"84","Dec_2022","SB_middle","Green Turf",0.99,0.4,10,1.37876756561793,0.436004587131833
"85","Dec_2022","SB_middle","Black Turf",8.02,1.15,10,10.2977667481838,3.25643977374064
"86","Dec_2022","SB_middle","Other Turf",5.37,5.3,10,3.11877825081838,0.986244278958199
"87","Dec_2022","SB_middle","Other benthic invertebrates",0.13,0.05,10,0.194650684275419,0.0615539510420646
"88","Dec_2022","SB_middle","Rubble and Rock",2.64,1.3,10,3.56002496870145,1.12577874281662
"89","Dec_2022","SB_west","Hard coral",34.3857142857143,38.9,7,15.9183781179102,6.01658139649754
"90","Dec_2022","SB_west","Macroalgae",20.2857142857143,20.5,7,10.6807347705153,4.03693828888916
"91","Dec_2022","SB_west","Red Turf",0,0,7,0,0
"92","Dec_2022","SB_west","Green Turf",1.1,0.6,7,1.08320512061813,0.409413052575327
"93","Dec_2022","SB_west","Black Turf",6.68571428571429,2.1,7,8.05634916725696,3.0450137673806
"94","Dec_2022","SB_west","Other Turf",15.6,18.7,7,8.63481325796916,3.2636526425814
"95","Dec_2022","SB_west","Other benthic invertebrates",0.871428571428571,0.7,7,0.884523008395458,0.334318272732726
"96","Dec_2022","SB_west","Rubble and Rock",1.84285714285714,1.4,7,1.25014284898052,0.472509583101178
"97","March_2023","SB_East","Hard coral",28.3714285714286,28.5,7,11.8343728584315,4.47297250083178
"98","March_2023","SB_East","Macroalgae",26.1,27.4,7,7.45430524372772,2.81746255309547
"99","March_2023","SB_East","Red Turf",12.6,11.9,7,3.4515696912178,1.30457071939576
"100","March_2023","SB_East","Green Turf",0.885714285714286,0.7,7,0.827503416767511,0.312766892831867
"101","March_2023","SB_East","Black Turf",8.24285714285714,4,7,7.27114322576057,2.74823381749921
"102","March_2023","SB_East","Other Turf",4.97142857142857,5.8,7,2.52633745813598,0.954865806007835
"103","March_2023","SB_East","Other benthic invertebrates",0.814285714285714,0.8,7,0.456174569759471,0.172417780859349
"104","March_2023","SB_East","Rubble and Rock",1.32857142857143,0.2,7,2.86281579667891,1.08204266391423
"105","March_2023","SB_middle","Hard coral",19.2272727272727,11.7,11,21.2594492360028,6.40996512412993
"106","March_2023","SB_middle","Macroalgae",23.7818181818182,25.5,11,12.0022346404174,3.61880990437007
"107","March_2023","SB_middle","Red Turf",7.26363636363636,5.2,11,6.78310735979798,2.04518382046801
"108","March_2023","SB_middle","Green Turf",0.563636363636364,0.7,11,0.329462371972058,0.0993366427610744
"109","March_2023","SB_middle","Black Turf",2.88181818181818,2.3,11,3.14032424498432,0.946843385515374
"110","March_2023","SB_middle","Other Turf",4.05454545454545,4.2,11,3.38093585752928,1.01939051633483
"111","March_2023","SB_middle","Other benthic invertebrates",0.5,0.3,11,0.462601340248815,0.139479552101896
"112","March_2023","SB_middle","Rubble and Rock",1.36363636363636,0.6,11,1.62559080169194,0.490134068351383
"113","March_2023","SB_west","Hard coral",45.3,40.1,7,16.7195494357155,6.31939569142192
"114","March_2023","SB_west","Macroalgae",15.0428571428571,12.8,7,7.85660171296665,2.96951632608483
"115","March_2023","SB_west","Red Turf",3.42857142857143,3.2,7,3.55514382536735,1.34371806242698
"116","March_2023","SB_west","Green Turf",0.528571428571429,0.4,7,0.485504156227612,0.183503322552359
"117","March_2023","SB_west","Black Turf",1.35714285714286,1.1,7,1.19143770694225,0.45032112502775
"118","March_2023","SB_west","Other Turf",17.2571428571429,9.5,7,15.7584746663351,5.95614357269059
"119","March_2023","SB_west","Other benthic invertebrates",1.55714285714286,1,7,1.82834820066013,0.691050664139876
"120","March_2023","SB_west","Rubble and Rock",1.25714285714286,1,7,1.37581144887559,0.520007849234323
